,Spotify_track_id,artist_x,song_x,ID,peak_position,hit,hit_value,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
79,78VG6M1i7JQXBdygmWFwye,Dean Martin,Everybody Loves Somebody,Everybody Loves SomebodyDean Martin,1.0,Yes,1,0.806,0.26,161640,0.49,0.0,3,0.336,-9.121,0,0.0415,80.599,4,0.399
80,4eHbdreAnSOrDDsFfc4Fpm,Whitney Houston,I Will Always Love You,I Will Always Love YouWhitney Houston,1.0,Yes,1,0.844,0.306,271093,0.214,5.3e-06,4,0.0839,-12.518,1,0.0356,66.98,4,0.108
81,5932kbyNt445gDTT2chRUS,George Michael,One More Try,One More TryGeorge Michael,1.0,Yes,1,0.434,0.551,350667,0.291,3.78e-05,5,0.11,-12.544,1,0.0283,119.005,3,0.0823
82,6pymOcrCnMuCWdgGVTvUgP,Britney Spears,3,3Britney Spears,1.0,Yes,1,0.0452,0.697,213173,0.709,0.0,5,0.138,-1.917,0,0.0455,134.91,4,0.787
83,6F5c58TMEs1byxUstkzVeM,Katy Perry,Roar,RoarKaty Perry,1.0,Yes,1,0.00487,0.554,223546,0.772,6.6e-06,7,0.354,-4.821,0,0.0418,179.984,4,0.455
84,5pkd9ib1RgbkAd1R9bIOCa,Neil Diamond,Cracklin' Rosie,Cracklin' RosieNeil Diamond,1.0,Yes,1,0.352,0.562,179933,0.492,0.0,1,0.164,-14.669,1,0.0341,127.811,4,0.858
85,2Cy7QY8HPLk925AyNAt6OG,Michael Jackson,Black Or White,Black Or WhiteMichael Jackson,1.0,Yes,1,0.0824,0.741,202853,0.894,0.0527,4,0.089,-3.826,1,0.0495,114.869,4,0.96
86,6HcQZfMrw3KwGyzrKw1Pjy,Mariah Carey,Dreamlover,DreamloverMariah Carey,1.0,Yes,1,0.18,0.701,232960,0.705,0.0,5,0.141,-6.18,1,0.0357,100.669,4,0.71
87,1ZPlNanZsJSPK5h9YZZFbZ,Madonna,Like A Virgin,Like A VirginMadonna,1.0,Yes,1,0.202,0.773,218627,0.656,0.00323,3,0.0697,-10.88,0,0.0381,119.754,4,0.971
88,5lWFrW5T3JtxVCLDb7etPu,Michael Jackson,Bad,BadMichael Jackson,1.0,Yes,1,0.00462,0.787,247360,0.889,0.423,8,0.0665,-3.786,1,0.0397,114.091,4,0.394
89,5hhF25sWnZvXhimOHLjTRE,The Beatles,I Feel Fine,I Feel FineThe Beatles,1.0,Yes,1,0.0904,0.564,139347,0.827,3.73e-06,7,0.127,-7.089,1,0.0283,89.847,4,0.912
90,2A6yzRGMgSQCUapR2ptm6A,Cyndi Lauper,True Colors,True ColorsCyndi Lauper,1.0,Yes,1,0.792,0.386,226067,0.145,0.000196,0,0.1,-16.94,1,0.0362,171.63,4,0.262
91,2JoZzpdeP2G6Csfdq5aLXP,Bee Gees,How Deep Is Your Love,How Deep Is Your LoveBee Gees,1.0,Yes,1,0.105,0.633,245200,0.357,0.0,5,0.133,-9.366,0,0.0264,104.938,4,0.674
92,5b88tNINg4Q4nrRbrCXUmg,Pharrell Williams,Happy,HappyPharrell Williams,1.0,Yes,1,0.219,0.647,232720,0.822,0.0,5,0.0908,-4.662,0,0.183,160.019,4,0.962
93,2OiOI7sppJH3oDmafgkGiJ,The Monkees,I'm A Believer,I'm A BelieverThe Monkees,1.0,Yes,1,0.982,0.789,183052,0.185,0.894,7,0.121,-16.84,1,0.0676,120.257,4,0.47
94,6OnfBiiSc9RGKiBKKtZXgQ,Starship,We Built This City,We Built This CityStarship,1.0,Yes,1,0.052,0.661,296080,0.908,0.0,5,0.0708,-4.897,1,0.039,144.091,4,0.656
95,5Z01UMMf7V1o0MzF86s6WJ,Eminem,Lose Yourself,Lose YourselfEminem,1.0,Yes,1,0.00704,0.698,326467,0.732,0.000647,2,0.359,-4.522,1,0.266,171.431,4,0.0689
96,2QsZVnbWVSjKMXK6K3uRBL,Usher,U Remind Me,U Remind MeUsher,1.0,Yes,1,0.194,0.657,266893,0.629,0.0,6,0.254,-4.938,1,0.0782,93.985,4,0.726
97,6Qb7gtV6Q4MnUjSbkFcopl,Paul Simon,50 Ways To Leave Your Lover,50 Ways To Leave Your LoverPaul Simon,1.0,Yes,1,0.166,0.815,217347,0.372,0.000116,7,0.0767,-12.814,1,0.0752,101.684,4,0.293
98,1Qrdlkgg9I4J7r3P4kZNwr,John Waite,Missing You,Missing YouJohn Waite,1.0,Yes,1,0.052,0.552,269760,0.552,0.0,11,0.046,-9.736,0,0.0364,208.571,4,0.593
99,5ehVOC0zSdwWqyZlhomJSi,Olivia Newton-John,Have You Never Been Mellow,Have You Never Been MellowOlivia Newton-John,1.0,Yes,1,0.566,0.542,213533,0.324,2.27e-06,0,0.0876,-14.07,1,0.0329,121.802,4,0.421
100,1gVgkQFOKa8Wc1HYsJtPdH,Extreme,More Than Words,More Than WordsExtreme,1.0,Yes,1,0.468,0.615,334107,0.129,0.0,6,0.114,-14.892,1,0.0286,91.769,4,0.249
101,1hFtJ5rV3aAm58ErijHdFO,Mariah Carey,Cry,CryMariah Carey,1.0,Yes,1,0.197,0.641,288827,0.504,9.01e-05,7,0.288,-12.486,1,0.031,130.786,4,0.276
102,5tdKaKLnC4SgtDZ6RlWeal,Whitney Houston,How Will I Know,How Will I KnowWhitney Houston,1.0,Yes,1,0.201,0.832,275533,0.544,0.000139,6,0.632,-12.697,1,0.0442,119.49,4,0.928
103,60jzFy6Nn4M0iD1d94oteF,Rihanna,Rude Boy,Rude BoyRihanna,1.0,Yes,1,0.113,0.563,222920,0.75,0.0,11,0.0788,-4.496,1,0.127,173.906,4,0.812
104,1rIy3lkFJnMsTLZpxFmYU8,Wilson Phillips,Release Me,Release MeWilson Phillips,1.0,Yes,1,0.448,0.724,295693,0.471,2.5e-06,0,0.218,-11.143,1,0.0358,97.211,4,0.442
105,1qOU8KzFifXE9YrgjVwYvc,Whitesnake,Here I Go Again,Here I Go AgainWhitesnake,1.0,Yes,1,0.0117,0.292,275395,0.823,7.79e-05,7,0.155,-6.763,1,0.0407,89.939,4,0.244
106,1pmYAWY7Kwaj84U3xZxLML,Jim Croce,Time In A Bottle,Time In A BottleJim Croce,1.0,Yes,1,0.854,0.543,147960,0.256,0.0,2,0.149,-11.573,1,0.0343,134.257,3,0.635
107,687YZan9Gol1UVvbpUSO6Y,Stevie Wonder,I Wish,I WishStevie Wonder,1.0,Yes,1,0.0816,0.821,252373,0.721,7.37e-06,10,0.0664,-10.401,0,0.0515,105.866,4,0.885
108,68BTFws92cRztMS1oQ7Ewj,The Beatles,All You Need Is Love,All You Need Is LoveThe Beatles,1.0,Yes,1,0.346,0.4,230387,0.48,3.1e-05,7,0.155,-7.768,1,0.0295,103.436,4,0.653
109,68K0qD0VDqdm0eWXsGqnvM,Savage Garden,I Knew I Loved You,I Knew I Loved YouSavage Garden,1.0,Yes,1,0.307,0.556,251253,0.517,0.00115,9,0.077,-8.769,1,0.0287,169.938,4,0.779
110,225xvV8r1yKMHErSWivnow,Aerosmith,I Don't Want To Miss A Thing,I Don't Want To Miss A ThingAerosmith,1.0,Yes,1,0.165,0.383,298760,0.662,0.0,2,0.248,-5.162,1,0.0333,121.154,4,0.138
111,5x9MJycRilBm2SNavzt9yF,Gloria Estefan,Coming Out Of The Dark,Coming Out Of The DarkGloria Estefan,1.0,Yes,1,0.65,0.643,242627,0.43,0.0,4,0.417,-11.694,1,0.0447,131.846,4,0.475
112,22wWxHGHRH8gZXNDXRgSqY,Heart,These Dreams,These DreamsHeart,1.0,Yes,1,0.508,0.535,254476,0.532,0.0,11,0.0868,-9.865,1,0.0291,79.107,4,0.3
113,1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Viva La VidaColdplay,1.0,Yes,1,0.0941,0.485,242373,0.619,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,4,0.416
114,2374M0fQpWi3dLnB54qaLX,Toto,Africa,AfricaToto,1.0,Yes,1,0.257,0.671,295893,0.373,7.95e-05,9,0.0481,-18.064,1,0.0323,92.717,4,0.732
115,1lx8ddGT5wCD6W2xmLeRKG,Whitney Houston,Saving All My Love For You,Saving All My Love For YouWhitney Houston,1.0,Yes,1,0.593,0.636,238467,0.264,4.22e-05,6,0.275,-14.567,0,0.0263,99.304,3,0.264
116,6B4oVElDIKRNcNUary0WG7,Madonna,Crazy For You,Crazy For YouMadonna,1.0,Yes,1,0.107,0.662,224320,0.719,0.0,9,0.102,-6.606,1,0.0298,95.001,4,0.511
117,1kiNatIrwDusOZfR29W0LJ,Michael Jackson,Man In The Mirror,Man In The MirrorMichael Jackson,1.0,Yes,1,0.52,0.808,318680,0.812,7.91e-05,8,0.134,-5.012,1,0.0381,100.331,4,0.269
118,1jy0RbDHyBMTupSdc98XbG,Bee Gees,How Can You Mend A Broken Heart,How Can You Mend A Broken HeartBee Gees,1.0,Yes,1,0.635,0.437,239240,0.264,0.0,4,0.0885,-13.715,1,0.0328,68.541,4,0.251
119,1ibRqifchaAfeNdQGpbRVW,Donna Summer,Bad Girls,Bad GirlsDonna Summer,1.0,Yes,1,0.00387,0.857,295107,0.7,0.0164,2,0.411,-14.506,0,0.0358,120.529,4,0.973
120,6RNDeRnWsRMjPdNVgupZCs,Stevie Wonder,I Just Called To Say I Love You,I Just Called To Say I Love YouStevie Wonder,1.0,Yes,1,0.243,0.748,262240,0.551,1.57e-06,1,0.0943,-9.054,1,0.0239,113.535,4,0.65
121,6qYGUxPjQt5PJtWdiNppZx,P!nk,So What,So WhatP!nk,1.0,Yes,1,0.000304,0.535,215160,0.886,2.26e-06,11,0.257,-3.106,1,0.045,126.012,4,0.445
122,1Q1b8eVkUPGlpSArl8JAVw,Neil Young,Heart Of Gold,Heart Of GoldNeil Young,1.0,Yes,1,0.189,0.541,187013,0.459,0.0274,4,0.099,-10.433,0,0.0297,171.165,4,0.803
123,6TSM5vkz0WzyZsNAKKYDcw,Mariah Carey,Someday,SomedayMariah Carey,1.0,Yes,1,0.206,0.685,246107,0.819,2.23e-06,1,0.0251,-8.686,0,0.0405,109.855,4,0.937
